Mad Max: Estrada da Fúria,2015,8.1,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named M... Read all"
O Dublê,2024,7.1,A down-and-out stuntman must find the missing star of his ex-girlfriend's blockbuster film.
Megalopolis,2024,7.0,An architect wants to rebuild New York City as a utopia following a devastating disaster.
Horizon: An American Saga - Chapter 1,2024,8.1,"Chronicles a multi-faceted, 15-year span of pre-and post-Civil War expansion and settlement of the American west."
Uma Ideia de Você,2024,6.4,"Solène, a 40-year-old single mom, begins an unexpected romance with 24-year-old Hayes Campbell, the lead singer of August Moon, the hottest boy band on the planet."
The Ministry of Ungentlemanly Warfare,2024,6.9,The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.
Furiosa: Uma Saga Mad Max,2024,7.9,The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max.
Rivais,2024,7.4,"Tashi, a former tennis prodigy turned coach, turned her husband into a champion. But to overcome a losing streak, he needs to face his ex-best friend and Tashi's ex-boyfriend."
Madame Teia,2024,3.9,"Cassandra Webb is a New York metropolis paramedic who begins to demonstrate signs of clairvoyance. Forced to challenge revelations about her past, she needs to safeguard three young women fr... Read all"
Duna: Parte 2,2024,8.6,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.
Guerra Civil,2024,7.3,"A journey across a dystopian future America, following a team of military-embedded journalists as they race against time to reach DC before rebel factions descend upon the White House."
Planeta dos Macacos: O Reinado,2024,7.2,"Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for a... Read all"
Amigos Imaginários,2024,6.7,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.
Atlas,2024,5.6,"In a bleak-sounding future, an A.I. soldier has determined that the only way to end war is to end humanity."
Godzilla e Kong: O Novo Império,2024,6.2,"Two ancient titans, Godzilla and Kong, clash in an epic battle as humans unravel their intertwined origins and connection to Skull Island's mysteries."
Abigail,2024,6.7,"After a group of criminals kidnap the ballerina daughter of a powerful underworld figure, they retreat to an isolated mansion, unaware that they're locked inside with no normal little girl."
Os Estranhos: Capítulo 1,2024,5.0,"After their car breaks down in an eerie small town, a young couple is forced to spend the night in a remote cabin. Panic ensues as they are terrorized by three masked strangers who strike wi... Read all"
The Substance,2024,8.0,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself."
Contra o Mundo,2023,6.4,"A fever dream action film that follows Boy, a deaf person with a vibrant imagination. When his family is murdered, he is trained by a mysterious shaman to repress his childish imagination an... Read all"
A Mãe da Noiva,2024,4.8,Lana's daughter Emma returns from London and announces that she's getting married next month. Things become more complicated when Lana learns that the man who stole Emma's heart is the son o... Read all
Tipos de Gentileza,2024,7.0,"A man seeks to break free from his predetermined path, a cop questions his wife's demeanor after her return from a supposed drowning, and a woman searches for an extraordinary individual pro... Read all"
Garfield - Fora de Casa,2024,5.9,"After Garfield's unexpected reunion with his long-lost father, ragged alley cat Vic, he and his canine friend Odie are forced from their perfectly pampered lives to join Vic on a risky heist... Read all"
Emilia Perez,2024,7.2,"Mexico, today. Lawyer Rita receives an unexpected offer. She has to help a feared cartel boss retire from his business and disappear forever by becoming the woman he's always dreamed of bein... Read all"
Garra de Ferro,2023,7.6,"The true story of the inseparable Von Erich brothers, who made history in the intensely competitive world of professional wrestling in the early 1980s."
Todos Menos Você,2023,6.1,"After an amazing first date, Bea and Ben's fiery attraction turns ice-cold--until they find themselves unexpectedly reunited at a wedding in Australia. So they do what any two mature adults ... Read all"
A Batalha do Biscoito Pop-Tart,2024,5.5,"In 1963 Michigan, business rivals Kellogg's and Post compete to create a cake that could change breakfast forever."
Duna,2021,8.0,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.
Instinto Materno,2024,6.3,"Alice and Celine live a traditional lifestyle with successful husbands and sons of the same age. Life's perfect harmony is suddenly shattered after a tragic accident. Guilt, suspicion and pa... Read all"
Pobres Criaturas,2023,7.9,"An account of the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter."
"Thelma, O Unicórnio",2024,5.8,"When a rare pink and glitter-filled moment of fate makes Thelma the Pony's wish of being a unicorn come true, she rises to instant international pop-superstar stardom, but at an unexpected c... Read all"
Ghostbusters: Apocalipse de Gelo,2024,6.2,"When the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second ice age."
Um Pequeno Favor,2018,6.8,"Stephanie is a single mother with a parenting vlog who befriends Emily, a secretive upper-class woman who has a child at the same elementary school. When Emily goes missing, Stephanie takes ... Read all"
Planeta dos Macacos: A Guerra,2017,7.4,"After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind."
Mad Max,1979,6.8,"In a self-destructing world, a vengeful Australian policeman sets out to stop a violent motorcycle gang."
Paranóia,2007,6.8,"When a teenager is placed under house arrest, he succumbs to despair and starts spying on his neighbors, hoping to spice up his life. This, however, leads him to witness a serial killer on t... Read all"
Assassino por Acaso,2023,7.4,"A professor moonlighting as a hit man of sorts for his city police department, descends into dangerous, dubious territory when he finds himself attracted to a woman who enlists his services."
Troca Surpresa,2023,8.5,"The misadventures of two young brides who get lost from the same train. From mistaken identities to laugh-out-aloud escapades, the ensuing chaos guarantees laughter galore and heartwarming m... Read all"
Entrevista com o Demônio,2023,7.1,"A live television broadcast in 1977 goes horribly wrong, unleashing evil into the nation's living rooms."
Oppenheimer,2023,8.3,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.
Planeta dos Macacos,2001,5.7,"In 2029, an Air Force astronaut crash-lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans."
Back to Black,2024,6.5,"The life and music of Amy Winehouse, through the journey of adolescence to adulthood and the creation of one of the best-selling albums of our time."
I Saw the TV Glow,2024,6.9,"Two teenagers bond over their love of a supernatural TV show, but it is mysteriously cancelled."
Matador de Aluguel,2024,6.2,"Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems."
Planeta dos Macacos: A Origem,2011,7.6,A substance designed to help the brain repair itself gives advanced intelligence to a chimpanzee who leads an ape uprising.
Beekeeper: Rede de Vingança,2024,6.4,"One man's brutal campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as ""Beekeepers."""
Planeta dos Macacos: O Confronto,2014,7.6,The fragile peace between apes and humans is threatened as mistrust and betrayal threaten to plunge both tribes into a war for dominance over the Earth.
Fúria Primitiva,2024,6.9,An anonymous young man unleashes a campaign of vengeance against the corrupt leaders who murdered his mother and continue to systematically victimize the poor and powerless.
Godzilla Minus One,2023,7.9,"Post war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb."
Sting: Aranha Assassina,2024,5.7,"After raising an unnervingly talented spider in secret, 12-year-old Charlotte must face the facts about her pet-and fight for her family's survival-when the once-charming creature rapidly tr... Read all"
Mad Max 2: A Caçada Continua,1981,7.6,"In the post-apocalyptic Australian wasteland, a cynical drifter agrees to help a small, gasoline-rich community get rid of a horde of bandits."
Os Fantasmas se Divertem,1988,7.5,"The spirits of a deceased couple are harassed by an unbearable family that has moved into their home, and hire a malicious spirit to drive them out."
Love Lies Bleeding - O Amor Sangra,2024,6.7,"Gym manager Lou falls for Jackie, a bodybuilder who is passing through town en route to a competition in Las Vegas."
X - A Marca da Morte,2022,6.5,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the crew find themselves fighting for their ... Read all"
Era Uma Vez em... Hollywood,2019,7.6,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.
Trem-Bala,2022,7.3,Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.
Upgrade: Atualização,2018,7.5,"Set in the near-future, technology controls nearly all aspects of life. But when the world of Grey, a self-labeled technophobe, is turned upside down, his only hope for revenge is an experim... Read all"
The Last Stop in Yuma County,2023,7.0,"While stranded at a rural Arizona rest stop, a traveling salesman is thrust into a dire hostage situation by the arrival of two bank robbers with no qualms about using cruelty-or cold, hard ... Read all"
O Tarô da Morte,2024,4.9,"When a group of friends recklessly violates the sacred rule of Tarot readings, they unknowingly unleash an unspeakable evil trapped within the cursed cards. One by one, they come face to fac... Read all"
Jogos Vorazes: A Cantiga dos Pássaros e das Serpentes,2023,6.7,Coriolanus Snow mentors and develops feelings for the female District 12 tribute during the 10th Hunger Games.
O Juiz,2014,7.4,"Big-city lawyer Hank Palmer returns to his childhood home where his father, the town's judge, is suspected of murder. Hank sets out to discover the truth; along the way he reconnects with hi... Read all"
Os Estranhos,2008,6.1,A young couple staying in an isolated vacation home are terrorized by three unknown assailants.
Um Sonho de Liberdade,1994,9.3,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
In a Violent Nature,2024,5.8,"When a locket is removed from a collapsed fire tower in the woods that entombs the rotting corpse of Johnny, a vengeful spirit spurred on by a horrific 60-year old crime, his body is resurre... Read all"
Ficção Americana,2023,7.5,A novelist who's fed up with the establishment profiting from Black entertainment uses a pen name to write a book that propels him into the heart of the hypocrisy and madness he claims to di... Read all
Magnatas do Crime,2019,7.8,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
Argylle: O Superespião,2024,5.7,"A reclusive author who writes espionage novels about a secret agent and a global spy syndicate realizes the plot of the new book she's writing starts to mirror real-world events, in real tim... Read all"
Um Lugar Bem Longe Daqui,2022,7.2,A woman who raised herself in the marshes of the Deep South becomes a suspect in the murder of a man with whom she was once involved.
O Planeta dos Macacos,1968,8.0,An astronaut crew crash-lands on a planet where highly intelligent non-human ape species are dominant and humans are enslaved.
Os Rejeitados,2023,7.9,A cranky history teacher at a prep school is forced to remain on campus over the holidays with a grieving cook and a troubled student who has no place to go.
Barbie,2023,6.8,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the ... Read all"
Ela,2013,8.0,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
The Blue Angels,2024,7.4,Follows the veterans and newest class of Navy and Marine Corps flight squadron as they go through intense training and into a season of heart-stopping aerial artistry.
Convite Maldito,2022,5.3,"A young woman is courted and swept off her feet, only to realize a gothic conspiracy is afoot."
O Poderoso Chefão,1972,9.2,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
Interestelar,2014,8.7,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
Golden Kamuy,2024,6.4,"In the early 20th century in Hokkaido, Japan, a treasure hunt between various parties takes place for a hidden stash of gold."
Zona de Interesse,2023,7.4,Auschwitz commandant Rudolf Höss and his wife Hedwig strive to build a dream life for their family in a house and garden beside the camp.
Manjummel Boys,2024,8.4,"A group of friends get into a daring rescue mission to save their friend from Guna Caves, a perilously deep pit from where nobody has ever been brought back."
Clube dos Vândalos,2023,7.6,"After a chance encounter, headstrong Kathy is drawn to Benny, member of Midwestern motorcycle club the Vandals. As the club transforms into a dangerous underworld of violence, Benny must cho... Read all"
The Surfer,2024,7.3,"When a man returns to his beach side hometown in Australia, he is humiliated in front of his teenage son by a local group of surfers who claim ownership over the secluded beach of his childh... Read all"
Kung Fu Panda 4,2024,6.3,"After Po is tapped to become the Spiritual Leader of the Valley of Peace, he needs to find and train a new Dragon Warrior, while a wicked sorceress plans to re-summon all the master villains... Read all"
Anora,2024,7.9,Anora is a comedy about a sex worker shot in New York City and Las Vegas.
Mad Max: Além da Cúpula do Trovão,1985,6.2,"After being exiled from the most advanced town in post-apocalyptic Australia, a drifter travels with a group of abandoned children to rebel against the town's queen."
Anatomia de uma Queda,2023,7.7,A woman is suspected of murder after her husband's death; their half-blind son faces a moral dilemma as the main witness.
The Dry 2: Força da Natureza,2024,6.0,Five women participate in a hiking retreat but only four come out the other side. Federal agents Aaron Falk and Carmen Cooper head into the mountains hoping to find their informant still ali... Read all
Top Gun: Maverick,2022,8.2,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ... Read all"
